City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Yar-Sale,RU,66.8333,70.8333,44.42,60,72,12.21,broken clouds
206,Constitucion,CL,-35.3333,-72.4167,56.48,54,61,9.51,broken clouds
207,Sarakhs,IR,36.5449,61.1577,91.54,35,0,6.91,clear sky
208,Kochki,RU,54.3358,80.4806,48.74,81,35,8.39,scattered clouds
209,Trairi,BR,-3.2778,-39.2689,86.97,49,0,11.61,clear sky
210,Teya,RU,60.3778,92.6267,41.92,68,32,5.46,scattered clouds
211,New Norfolk,AU,-42.7826,147.0587,46.65,66,64,1.99,broken clouds
212,Goure,NE,13.9835,10.2704,100.02,14,100,9.04,overcast clouds
213,Kerchevskiy,RU,59.946,56.2884,66.24,57,2,6.78,clear sky
214,Lensk,RU,60.7253,114.9278,51.67,94,100,1.88,overcast clouds
215,Solnechnyy,RU,50.7214,136.6319,43.38,95,100,6.35,overcast clouds
216,Valle De Allende,MX,26.9333,-105.4,82.26,16,8,16.4,clear sky
217,Muisne,EC,0.6,-80.0333,82.51,86,99,11.14,overcast clouds
218,Kungurtug,RU,50.5994,97.5228,45.91,92,99,7.7,overcast clouds
219,Acapulco,MX,16.8634,-99.8901,89.42,62,40,2.95,scattered clouds
220,Loandjili,CG,-4.7561,11.8578,79.7,80,100,8.93,overcast clouds
221,Ahipara,NZ,-35.1667,173.1667,59.61,82,100,17.29,heavy intensity rain
222,Kyra,RU,49.5776,111.9753,58.1,48,0,3.2,clear sky
223,Bowen,AU,-20.0167,148.2333,50.22,71,44,7.99,scattered clouds
224,Saskylakh,RU,71.9167,114.0833,36.79,77,96,5.55,overcast clouds
225,Nagato,JP,34.3833,131.2,67.91,86,100,6.29,light rain
226,Anadyr,RU,64.75,177.4833,45.1,87,20,20.07,light rain
227,Teknaf,BD,20.8624,92.3058,82.49,84,92,2.51,overcast clouds
228,North Bend,US,43.4065,-124.2243,55.15,91,90,0.0,overcast clouds
229,Touros,BR,-5.1989,-35.4608,86.9,59,17,16.71,few clouds
230,Evensk,RU,61.95,159.2333,41.36,93,100,2.8,light rain
231,Souillac,MU,-20.5167,57.5167,74.35,83,40,7.74,scattered clouds
232,San Borja,BO,-14.8167,-66.85,84.6,59,54,6.49,broken clouds
233,Mareeba,AU,-17.0,145.4333,63.32,89,47,2.53,scattered clouds
234,Dodge City,US,37.7528,-100.0171,80.26,60,1,11.01,clear sky
235,Kayes,ML,14.0,-11.0,106.43,16,48,7.78,scattered clouds
236,Kawalu,ID,-7.3817,108.2082,74.91,94,89,1.01,overcast clouds
237,Kilindoni,TZ,-7.9139,39.6668,79.61,72,64,20.76,broken clouds
238,Lopatino,RU,52.6195,45.8118,60.57,87,100,10.63,overcast clouds
239,Porto Novo,BJ,6.4965,2.6036,82.22,79,98,6.78,light rain
240,Cururupu,BR,-1.8283,-44.8683,88.41,51,7,8.08,clear sky
241,Changji,CN,44.0167,87.3167,65.19,77,40,11.65,scattered clouds
242,Senanga,ZM,-16.1167,23.2667,67.08,29,4,6.31,clear sky
243,Manokwari,ID,-0.8667,134.0833,77.52,83,100,4.32,light rain
244,Isangel,VU,-19.55,169.2667,74.62,82,82,6.11,broken clouds
245,Kutum,SD,14.2,24.6667,92.48,11,24,15.86,few clouds
246,Biak,ID,-0.9131,122.8766,76.53,81,95,6.08,overcast clouds
247,Nara,JP,34.6851,135.8049,69.08,63,100,0.72,light rain
248,Pangkalanbuun,ID,-2.6833,111.6167,78.06,87,64,3.0,broken clouds
249,Tokur,RU,53.1333,132.9,36.52,84,1,1.01,clear sky
250,Salta,AR,-24.7859,-65.4117,73.99,54,20,5.99,few clouds
251,Lac Du Bonnet,CA,50.2536,-96.0612,81.75,34,54,2.64,broken clouds
252,Tskneti,GE,41.6939,44.6937,56.7,76,99,6.33,overcast clouds
253,Tilichiki,RU,60.4667,166.1,38.91,88,99,0.36,overcast clouds
254,Hokitika,NZ,-42.7167,170.9667,56.52,90,100,14.58,moderate rain
255,Colac,AU,-38.3333,143.5833,51.84,94,75,5.46,broken clouds
256,Parana,AR,-31.732,-60.5238,61.57,88,100,14.5,overcast clouds
257,Panguna,PG,-6.3164,155.4848,66.94,96,20,2.1,few clouds
258,Okhotsk,RU,59.3833,143.3,38.75,92,98,3.38,overcast clouds
259,Negombo,LK,7.2083,79.8358,80.15,84,97,13.24,heavy intensity rain
260,Kavaratti,IN,10.5669,72.642,82.76,77,100,13.65,overcast clouds
261,Plymouth,US,41.8334,-70.8328,89.33,66,90,13.0,overcast clouds
262,Burgersdorp,ZA,-30.9977,26.3286,47.32,23,0,4.23,clear sky
